# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
150	5.0000000000000122e-01	0	0	150	-3	150	2.5673907444456745e-16	-4.0800000000000001e+00	2.5673907444456745e-16	2.5641917557554329e-83	3.3430992408610206e-81
150	5.0000000000000122e-01	0	0	150	-2	150	2.5673907444456745e-16	-4.0533333333333337e+00	2.5673907444456745e-16	-1.5400876876572093e-84	-1.7290318535336742e-82
150	5.0000000000000122e-01	0	0	150	-1	150	2.5673907444456745e-16	-4.0266666666666664e+00	2.5673907444456745e-16	-8.5581936492893886e-85	-9.9539127753949055e-83
150	5.0000000000000122e-01	0	0	150	0	150	2.5673907444456745e-16	-4.0000000000000000e+00	2.5673907444456745e-16	-2.0101275425976722e-85	-2.3473325804023964e-83
150	5.0000000000000122e-01	0	0	150	1	150	2.5673907444456745e-16	-3.9733333333333332e+00	2.5673907444456745e-16	-8.5628987371001257e-85	-9.9609417173983234e-83
150	5.0000000000000122e-01	0	0	150	2	150	2.5673907444456745e-16	-3.9466666666666668e+00	2.5673907444456745e-16	-1.5430722435732302e-84	-1.7298360816366842e-82
150	5.0000000000000122e-01	0	0	150	3	150	2.5673907444456745e-16	-3.9199999999999999e+00	2.5673907444456745e-16	2.5675529218490591e-83	3.3489423794246790e-81
150	5.0000000000000122e-01	0	0	150	4	150	2.5673907444456745e-16	-3.8933333333333335e+00	2.5673907444456745e-16	-6.8310936312332167e-82	-6.5578987849016400e-80
150	5.0000000000000122e-01	0	0	150	5	150	2.5673907444456745e-16	-3.8666666666666667e+00	2.5673907444456745e-16	-3.8210160872908380e-80	-4.0545113320805344e-78
150	5.0000000000000122e-01	0	0	150	6	150	2.5673907444456745e-16	-3.8399999999999999e+00	2.5673907444456745e-16	-9.3336661778976383e-79	-9.9900166117581511e-77
150	5.0000000000000122e-01	0	0	150	7	150	2.5673907444456745e-16	-3.8133333333333335e+00	2.5673907444456745e-16	-1.6838179808041804e-77	-1.7951322208833627e-75
150	5.0000000000000122e-01	0	0	150	8	150	2.5673907444456745e-16	-3.7866666666666666e+00	2.5673907444456745e-16	-2.6212741498773281e-76	-2.7699618701792369e-74
150	5.0000000000000122e-01	0	0	150	9	150	2.5673907444456745e-16	-3.7599999999999998e+00	2.5673907444456745e-16	-3.8770818173481086e-75	-4.0523690957722945e-73
150	5.0000000000000122e-01	0	0	150	10	150	2.5673907444456745e-16	-3.7333333333333334e+00	2.5673907444456745e-16	-5.8088267924310581e-74	-6.0063827869195500e-72
150	5.0000000000000122e-01	0	0	150	11	150	2.5673907444456745e-16	-3.7066666666666666e+00	2.5673907444456745e-16	-8.9898813350218440e-73	-9.2100877200630382e-71
150	5.0000000000000122e-01	0	0	150	12	150	2.5673907444456745e-16	-3.6800000000000002e+00	2.5673907444456745e-16	-1.4104321096119403e-71	-1.4335141799198513e-69
150	5.0000000000000122e-01	0	0	150	13	150	2.5673907444456745e-16	-3.6533333333333333e+00	2.5673907444456745e-16	-2.1812014128631158e-70	-2.2000716306577353e-68
150	5.0000000000000122e-01	0	0	150	14	150	2.5673907444456745e-16	-3.6266666666666665e+00	2.5673907444456745e-16	-3.2675568255580449e-69	-3.2699035875184366e-67
150	5.0000000000000122e-01	0	0	150	15	150	2.5673907444456745e-16	-3.6000000000000001e+00	2.5673907444456745e-16	-4.7202864473091319e-68	-4.6844011578108007e-66
150	5.0000000000000122e-01	0	0	150	16	150	2.5673907444456745e-16	-3.5733333333333333e+00	2.5673907444456745e-16	-6.5975847745547916e-67	-6.4905912967135534e-65
150	5.0000000000000122e-01	0	0	150	17	150	2.5673907444456745e-16	-3.5466666666666669e+00	2.5673907444456745e-16	-8.9762706237114232e-66	-8.7522971825732885e-64
150	5.0000000000000122e-01	0	0	150	18	150	2.5673907444456745e-16	-3.5200000000000000e+00	2.5673907444456745e-16	-1.1949903552406105e-64	-1.1547678248291200e-62
150	5.0000000000000122e-01	0	0	150	19	150	2.5673907444456745e-16	-3.4933333333333332e+00	2.5673907444456745e-16	-1.5608726288130195e-63	-1.4948965114678654e-61
150	5.0000000000000122e-01	0	0	150	20	150	2.5673907444456745e-16	-3.4666666666666668e+00	2.5673907444456745e-16	-2.0006603283178513e-62	-1.8990595632132865e-60
150	5.0000000000000122e-01	0	0	150	21	150	2.5673907444456745e-16	-3.4399999999999999e+00	2.5673907444456745e-16	-2.5127998743052259e-61	-2.3639191177630011e-59
150	5.0000000000000122e-01	0	0	150	22	150	2.5673907444456745e-16	-3.4133333333333331e+00	2.5673907444456745e-16	-3.0868798667185206e-60	-2.8778551782478877e-58
150	5.0000000000000122e-01	0	0	150	23	150	2.5673907444456745e-16	-3.3866666666666667e+00	2.5673907444456745e-16	-3.7038193416743459e-59	-3.4215546049642350e-57
150	5.0000000000000122e-01	0	0	150	24	150	2.5673907444456745e-16	-3.3599999999999999e+00	2.5673907444456745e-16	-4.3379104994494198e-58	-3.9703092297950550e-56
150	5.0000000000000122e-01	0	0	150	25	150	2.5673907444456745e-16	-3.3333333333333335e+00	2.5673907444456745e-16	-4.9597496244257662e-57	-4.4970009556126570e-55
150	5.0000000000000122e-01	0	0	150	26	150	2.5673907444456745e-16	-3.3066666666666666e+00	2.5673907444456745e-16	-5.5389946614170774e-56	-4.9747430862893581e-54
150	5.0000000000000122e-01	0	0	150	27	150	2.5673907444456745e-16	-3.2799999999999998e+00	2.5673907444456745e-16	-6.0463655330708915e-55	-5.3786683856771707e-53
150	5.0000000000000122e-01	0	0	150	28	150	2.5673907444456745e-16	-3.2533333333333334e+00	2.5673907444456745e-16	-6.4549781068722957e-54	-5.6870101042528420e-52
150	5.0000000000000122e-01	0	0	150	29	150	2.5673907444456745e-16	-3.2266666666666666e+00	2.5673907444456745e-16	-6.7415382802476078e-53	-5.8820029327341874e-51
150	5.0000000000000122e-01	0	0	150	30	150	2.5673907444456745e-16	-3.1999999999999997e+00	2.5673907444456745e-16	-6.8878889722666338e-52	-5.9510565176395630e-50
150	5.0000000000000122e-01	0	0	150	31	150	2.5673907444456745e-16	-3.1733333333333333e+00	2.5673907444456745e-16	-6.8829814736912512e-51	-5.8882423905999868e-49
150	5.0000000000000122e-01	0	0	150	32	150	2.5673907444456745e-16	-3.1466666666666665e+00	2.5673907444456745e-16	-6.7248331080213856e-50	-5.6956837148854982e-48
150	5.0000000000000122e-01	0	0	150	33	150	2.5673907444456745e-16	-3.1200000000000001e+00	2.5673907444456745e-16	-6.4217492845909620e-49	-5.3842241835173892e-47
150	5.0000000000000122e-01	0	0	150	34	150	2.5673907444456745e-16	-3.0933333333333333e+00	2.5673907444456745e-16	-5.9921813371781389e-48	-4.9728847119361871e-46
150	5.0000000000000122e-01	0	0	150	35	150	2.5673907444456745e-16	-3.0666666666666664e+00	2.5673907444456745e-16	-5.4629960360802787e-47	-4.4870027206019045e-45
150	5.0000000000000122e-01	0	0	150	36	150	2.5673907444456745e-16	-3.0400000000000000e+00	2.5673907444456745e-16	-4.8664361015177075e-46	-3.9553830511453883e-44
150	5.0000000000000122e-01	0	0	150	37	150	2.5673907444456745e-16	-3.0133333333333332e+00	2.5673907444456745e-16	-4.2364270343214306e-45	-3.4070769872028825e-43
150	5.0000000000000122e-01	0	0	150	38	150	2.5673907444456745e-16	-2.9866666666666668e+00	2.5673907444456745e-16	-3.6050034811001039e-44	-2.8684529125091312e-42
150	5.0000000000000122e-01	0	0	150	39	150	2.5673907444456745e-16	-2.9600000000000000e+00	2.5673907444456745e-16	-2.9994909300801315e-43	-2.3610556318258029e-41
150	5.0000000000000122e-01	0	0	150	40	150	2.5673907444456745e-16	-2.9333333333333331e+00	2.5673907444456745e-16	-2.4407879015889498e-42	-1.9004761074788912e-40
150	5.0000000000000122e-01	0	0	150	41	150	2.5673907444456745e-16	-2.9066666666666667e+00	2.5673907444456745e-16	-1.9427821757478113e-41	-1.4961866839878996e-39
150	5.0000000000000122e-01	0	0	150	42	150	2.5673907444456745e-16	-2.8799999999999999e+00	2.5673907444456745e-16	-1.5127027221214326e-40	-1.1521178808731224e-38
150	5.0000000000000122e-01	0	0	150	43	150	2.5673907444456745e-16	-2.8533333333333331e+00	2.5673907444456745e-16	-1.1520976444643994e-39	-8.6768449959375980e-38
