0.000000 -4.626571933023827255e-08 3.082804816260087022e-07
0.208333 -4.62567093610356492e-08 3.091548528810710295e-07
0.416667 -4.624748134415546361e-08 3.100259763175984895e-07
0.625000 -4.623803067111717743e-08 3.108937937880868604e-07
0.833333 -4.62283525918604488e-08 3.11758245832015179e-07
1.041667 -4.621844217415690832e-08 3.12619271829126729e-07
1.250000 -4.620829366902798409e-08 3.134768097901913096e-07
1.458333 -4.61979011733178958e-08 3.143307964411088833e-07
1.666667 -4.618725947781953925e-08 3.151811671904436506e-07
1.875000 -4.617636326520547573e-08 3.160278558606318026e-07
2.083333 -4.616520621069212304e-08 3.168707950682285335e-07
2.291667 -4.615378235864046745e-08 3.177099157979016086e-07
2.500000 -4.614208610628086164e-08 3.185451476096896321e-07
2.708333 -4.613011100509841948e-08 3.193764185032673469e-07
2.916667 -4.61178503355080116e-08 3.202036548739300967e-07
3.125000 -4.610529739569809214e-08 3.210267814937754541e-07
3.333333 -4.609244556713714311e-08 3.218457215428822914e-07
3.541667 -4.607928795975445146e-08 3.226603963250069779e-07
3.750000 -4.606581729929726046e-08 3.234707254870054115e-07
3.958333 -4.605202613831123842e-08 3.242766269295363179e-07
4.166667 -4.603790703485588076e-08 3.250780166813870247e-07
4.375000 -4.602345232752396984e-08 3.258748088445120347e-07
4.583333 -4.600865404676114948e-08 3.266669154963267166e-07
4.791667 -4.599350404116638572e-08 3.274542468711431388e-07
5.000000 -4.59779937869863491e-08 3.282367110811615987e-07
5.208333 -4.596211463683071807e-08 3.290142141445921167e-07
5.416667 -4.594585762420851353e-08 3.297866599230771242e-07
5.625000 -4.592921383243164667e-08 3.305539500815998591e-07
5.833333 -4.591217413623422191e-08 3.313159838944845451e-07
6.041667 -4.589472887463629617e-08 3.32072658382368237e-07
6.250000 -4.587686816024619157e-08 3.328238682379318599e-07
6.458333 -4.585858172379316333e-08 3.335695055741358652e-07
6.666667 -4.583985908365637217e-08 3.343094600076327003e-07
6.875000 -4.582068955730751201e-08 3.350436186023406497e-07
7.083333 -4.580106214496440246e-08 3.357718656340949364e-07
7.291667 -4.578096566610567431e-08 3.364940827207141844e-07
7.500000 -4.576038857584914078e-08 3.37210148586796468e-07
7.708333 -4.573931894800714827e-08 3.379199392083683992e-07
7.916667 -4.571774435010968404e-08 3.386233273980559296e-07
8.125000 -4.56956521322014176e-08 3.393201829854249179e-07
8.333333 -4.567302927318212873e-08 3.400103726607385968e-07
8.541667 -4.564986231752807225e-08 3.406937598858793002e-07
8.750000 -4.562613753284002014e-08 3.413702046666959181e-07
8.958333 -4.560184085331015185e-08 3.420395638021198331e-07
9.166667 -4.557695769246169116e-08 3.42701690384318708e-07
9.375000 -4.555147308806480184e-08 3.433564339324896811e-07
9.583333 -4.552537164698667619e-08 3.440036402906207949e-07
9.791667 -4.549863744114747376e-08 3.446431514635715926e-07
10.000000 -4.547125415168287392e-08 3.452748054393450119e-07
10.208333 -4.544320481420754612e-08 3.458984362133522318e-07
10.416667 -4.541447211882611342e-08 3.465138736171876099e-07
10.625000 -4.538503822786440084e-08 3.47120943145144211e-07
10.833333 -4.535488481313080516e-08 3.47719465874440615e-07
11.041667 -4.532399293409848469e-08 3.483092583454634283e-07
11.250000 -4.529234310768830104e-08 3.488901324439806822e-07
11.458333 -4.525991532885783424e-08 3.494618952020838491e-07
11.666667 -4.522668878709448557e-08 3.500243486551386421e-07
11.875000 -4.519264207102459088e-08 3.505772898024923742e-07
12.083333 -4.515775320015172529e-08 3.511205102363071382e-07
12.291667 -4.512199958036492778e-08 3.516537962978433678e-07
12.500000 -4.508535785980281699e-08 3.521769286791532351e-07
12.708333 -4.504780399100215214e-08 3.526896822759186283e-07
12.916667 -4.5009313154594531e-08 3.531918260394940837e-07
13.125000 -4.496985977077872981e-08 3.536831229125270937e-07
13.333333 -4.49294172691257687e-08 3.541633294008614081e-07
13.541667 -4.488795841280841994e-08 3.546321955985190009e-07
13.750000 -4.484545520243759711e-08 3.550894649255692596e-07
13.958333 -4.480187866620392718e-08 3.555348739128530217e-07
14.166667 -4.475719885428186707e-08 3.559681518682361871e-07
14.375000 -4.471138488305844216e-08 3.563890208891669293e-07
14.583333 -4.466440488964707411e-08 3.567971953925364103e-07
14.791667 -4.461622605217894333e-08 3.571923821417260251e-07
15.000000 -4.456681434107768666e-08 3.575742796806224746e-07
15.208333 -4.451613470334423296e-08 3.579425783849221806e-07
15.416667 -4.446415097434348996e-08 3.582969600353786167e-07
15.625000 -4.441082572746038344e-08 3.586370974908548436e-07
15.833333 -4.4356120351069e-08 3.589626545714218449e-07
16.041667 -4.429999495043263251e-08 3.592732856732134405e-07
16.250000 -4.424240830278163254e-08 3.595686354040273123e-07
16.458333 -4.418331787220812744e-08 3.59848338412695564e-07
16.666667 -4.412267955638097417e-08 3.601120189578181083e-07
16.875000 -4.406044791975731578e-08 3.603592906032763972e-07
17.083333 -4.399657585062615401e-08 3.605897557811954978e-07
17.291667 -4.393101476243336371e-08 3.608030056252708773e-07
17.500000 -4.386371436654872654e-08 3.609986193496814419e-07
17.708333 -4.379462256230169179e-08 3.611761641269105398e-07
17.916667 -4.372368565239882859e-08 3.613351943770331202e-07
18.125000 -4.365084797659121493e-08 3.614752516260192971e-07
18.333333 -4.357605194970562139e-08 3.615958638624064729e-07
18.541667 -4.349923804293865546e-08 3.616965451668977077e-07
18.750000 -4.342034443858962163e-08 3.617767952561799484e-07
18.958333 -4.333930731690703126e-08 3.618360990169462706e-07
19.166667 -4.325607233366234853e-08 3.618739674818635849e-07
19.375000 -4.31705469302055318e-08 3.618897716658122961e-07
19.583333 -4.308267326779948612e-08 3.618829884033693133e-07
19.791667 -4.299237890251098495e-08 3.618530389004268171e-07
20.000000 -4.28995852059007099e-08 3.617993263836822751e-07
20.208333 -4.280421234185276863e-08 3.617212345113880574e-07
20.416667 -4.270618189066144403e-08 3.616181279730535166e-07
20.625000 -4.260541013145571005e-08 3.614893525439721505e-07
20.833333 -4.250180615919498859e-08 3.613342341246452657e-07
21.041667 -4.239527855860337195e-08 3.611520775217535995e-07
21.250000 -4.228573534467170593e-08 3.609421653415320157e-07
21.458333 -4.217307941513005853e-08 3.607037576030988045e-07
21.666667 -4.205720759255450496e-08 3.604360914864555462e-07
21.875000 -4.193801401549876325e-08 3.601383801316409313e-07
22.083333 -4.181539072042049332e-08 3.598098113927134785e-07
22.291667 -4.16892246076245066e-08 3.594495470695211329e-07
22.500000 -4.155939758218723738e-08 3.590567221783003901e-07
22.708333 -4.14257874744836287e-08 3.586304439617606961e-07
22.916667 -4.128826738572345297e-08 3.581697907718189788e-07
23.125000 -4.114670587940996082e-08 3.57673810894138411e-07
23.333333 -4.100096640741257082e-08 3.571415214379985059e-07
23.541667 -4.085090658840694426e-08 3.56571907247293868e-07
23.750000 -4.069637841710137429e-08 3.559639198150272194e-07
23.958333 -4.053722883941393967e-08 3.553164757987360875e-07
24.166667 -4.037329849080167e-08 3.546284557734231375e-07
24.375000 -4.020442136916331479e-08 3.538987027663912441e-07
24.583333 -4.003042496666300163e-08 3.531260210193346968e-07
24.791667 -3.985112998807820885e-08 3.523091743604836476e-07
25.000000 -3.96663499287685046e-08 3.514468846437751226e-07
