# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
112	8.7500000000000000e-01	0	0	-3	32	32	-4.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.2768218309480048e-20	1.2469213808632014e-18
112	8.7500000000000000e-01	0	0	-2	32	32	-4.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.9284440177368474e-20	-6.1110900370548623e-19
112	8.7500000000000000e-01	0	0	-1	32	32	-4.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.2885921128830908e-23	-2.0329903938860896e-20
112	8.7500000000000000e-01	0	0	0	32	32	-4.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.3049745286354756e-22	7.1522088553087853e-21
112	8.7500000000000000e-01	0	0	1	32	32	-3.8750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.2885921128830908e-23	-2.0329903938860896e-20
112	8.7500000000000000e-01	0	0	2	32	32	-3.7500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.9284440177368474e-20	-6.1110900370548623e-19
112	8.7500000000000000e-01	0	0	3	32	32	-3.6250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.2768218309480048e-20	1.2469213808632014e-18
112	8.7500000000000000e-01	0	0	4	32	32	-3.5000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.5246124998605266e-18	8.3571000114769771e-17
112	8.7500000000000000e-01	0	0	5	32	32	-3.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.6978083432823377e-17	1.2655478071654736e-16
112	8.7500000000000000e-01	0	0	6	32	32	-3.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-2.3104197564739003e-16	-8.4891949471467833e-15
112	8.7500000000000000e-01	0	0	7	32	32	-3.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-2.7589949450739291e-15	-4.5722264732811880e-14
112	8.7500000000000000e-01	0	0	8	32	32	-3.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	9.4678951039554322e-15	5.2844535339361830e-13
112	8.7500000000000000e-01	0	0	9	32	32	-2.8750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.8449140859670204e-13	6.1182403458637441e-12
112	8.7500000000000000e-01	0	0	10	32	32	-2.7500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	8.7422307939777443e-13	-1.8342529351011632e-12
112	8.7500000000000000e-01	0	0	11	32	32	-2.6250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.4615453894229853e-11	-4.0380782039234234e-10
112	8.7500000000000000e-01	0	0	12	32	32	-2.5000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.6678191472271866e-10	-3.0305738084080479e-09
112	8.7500000000000000e-01	0	0	13	32	32	-2.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-4.0265500406091039e-10	1.8481962528094957e-10
112	8.7500000000000000e-01	0	0	14	32	32	-2.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	8.2256196804405037e-09	2.2362896758944182e-07
112	8.7500000000000000e-01	0	0	15	32	32	-2.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.0725061384401936e-07	2.0481062479701067e-06
