# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
32	2.5000000000000000e-01	0	0	32	36	32	0.0000000000000000e+00	5.0000000000000000e-01	0.0000000000000000e+00	7.3540044242438374e-01	5.8935570184124213e+00
32	2.5000000000000000e-01	0	0	32	37	32	0.0000000000000000e+00	6.2500000000000000e-01	0.0000000000000000e+00	1.6873372238640680e-01	2.0253477248768270e+00
32	2.5000000000000000e-01	0	0	32	38	32	0.0000000000000000e+00	7.5000000000000000e-01	0.0000000000000000e+00	2.4368265108915297e-02	3.9140840665998899e-01
32	2.5000000000000000e-01	0	0	32	39	32	0.0000000000000000e+00	8.7500000000000000e-01	0.0000000000000000e+00	2.1546175032272127e-03	4.3589293869207013e-02
32	2.5000000000000000e-01	0	0	32	40	32	0.0000000000000000e+00	1.0000000000000000e+00	0.0000000000000000e+00	1.8612791209081012e-04	3.8664895065568792e-03
32	2.5000000000000000e-01	0	0	32	41	32	0.0000000000000000e+00	1.1250000000000000e+00	0.0000000000000000e+00	6.0216893660390017e-06	1.4305778510602751e-04
32	2.5000000000000000e-01	0	0	32	42	32	0.0000000000000000e+00	1.2500000000000000e+00	0.0000000000000000e+00	-9.9426967886242361e-07	-1.7577082111407146e-05
32	2.5000000000000000e-01	0	0	32	43	32	0.0000000000000000e+00	1.3750000000000000e+00	0.0000000000000000e+00	-1.6176456811765133e-07	-4.0291167926749760e-06
32	2.5000000000000000e-01	0	0	32	44	32	0.0000000000000000e+00	1.5000000000000000e+00	0.0000000000000000e+00	-3.8391016023835563e-09	-2.0772312268558241e-07
32	2.5000000000000000e-01	0	0	32	45	32	0.0000000000000000e+00	1.6250000000000000e+00	0.0000000000000000e+00	8.6884142692223882e-10	2.1854883638849377e-08
32	2.5000000000000000e-01	0	0	32	46	32	0.0000000000000000e+00	1.7500000000000000e+00	0.0000000000000000e+00	4.9527320889967485e-11	2.2423271417534704e-09
32	2.5000000000000000e-01	0	0	32	47	32	0.0000000000000000e+00	1.8750000000000000e+00	0.0000000000000000e+00	-2.4010288357466595e-12	-5.3509680448287748e-11
32	2.5000000000000000e-01	0	0	32	48	32	0.0000000000000000e+00	2.0000000000000000e+00	0.0000000000000000e+00	-2.1088222609181760e-13	-1.0208925549511091e-11
32	2.5000000000000000e-01	0	0	32	49	32	0.0000000000000000e+00	2.1250000000000000e+00	0.0000000000000000e+00	3.7841079353319324e-15	3.7459512725858824e-14
32	2.5000000000000000e-01	0	0	32	50	32	0.0000000000000000e+00	2.2500000000000000e+00	0.0000000000000000e+00	5.3884954136209009e-16	2.8657325402289934e-14
32	2.5000000000000000e-01	0	0	32	51	32	0.0000000000000000e+00	2.3750000000000000e+00	0.0000000000000000e+00	-2.7065723032867730e-18	1.5752435133270847e-16
32	2.5000000000000000e-01	0	0	32	52	32	0.0000000000000000e+00	2.5000000000000000e+00	0.0000000000000000e+00	-9.5324344734261457e-19	-5.5865687831665101e-17
32	2.5000000000000000e-01	0	0	32	53	32	0.0000000000000000e+00	2.6250000000000000e+00	0.0000000000000000e+00	-2.1058457292045807e-21	-6.0194611717206339e-19
32	2.5000000000000000e-01	0	0	32	54	32	0.0000000000000000e+00	2.7500000000000000e+00	0.0000000000000000e+00	1.2495322747205701e-21	8.0449842306063506e-20
32	2.5000000000000000e-01	0	0	32	55	32	0.0000000000000000e+00	2.8750000000000000e+00	0.0000000000000000e+00	8.6742785118457630e-24	1.1526311788453099e-21
32	2.5000000000000000e-01	0	0	32	56	32	0.0000000000000000e+00	3.0000000000000000e+00	0.0000000000000000e+00	-1.2648651622449641e-24	-8.9015187997480227e-23
32	2.5000000000000000e-01	0	0	32	57	32	0.0000000000000000e+00	3.1250000000000000e+00	0.0000000000000000e+00	-1.3178695004748213e-26	-1.5179787240744048e-24
32	2.5000000000000000e-01	0	0	32	58	32	0.0000000000000000e+00	3.2500000000000000e+00	0.0000000000000000e+00	1.0171676922113431e-27	7.7803480969505832e-26
32	2.5000000000000000e-01	0	0	32	59	32	0.0000000000000000e+00	3.3750000000000000e+00	0.0000000000000000e+00	1.3472562407960994e-29	1.5103819505456049e-27
32	2.5000000000000000e-01	0	0	32	60	32	0.0000000000000000e+00	3.5000000000000000e+00	0.0000000000000000e+00	-6.6332515359284747e-31	-5.4829063768017013e-29
32	2.5000000000000000e-01	0	0	32	61	32	0.0000000000000000e+00	3.6250000000000000e+00	0.0000000000000000e+00	-1.0463143571080531e-32	-1.1895909138826373e-30
32	2.5000000000000000e-01	0	0	32	62	32	0.0000000000000000e+00	3.7500000000000000e+00	0.0000000000000000e+00	3.5616413439126471e-34	3.1629776283563379e-32
32	2.5000000000000000e-01	0	0	32	63	32	0.0000000000000000e+00	3.8750000000000000e+00	0.0000000000000000e+00	6.4994713199361472e-36	7.6306657571191377e-34
32	2.5000000000000000e-01	0	0	32	64	32	0.0000000000000000e+00	4.0000000000000000e+00	0.0000000000000000e+00	-3.1837306972336100e-37	-3.0197292376677397e-35
32	2.5000000000000000e-01	0	0	32	65	32	0.0000000000000000e+00	4.1250000000000000e+00	0.0000000000000000e+00	6.4994713199361472e-36	7.6306657571191377e-34
32	2.5000000000000000e-01	0	0	32	66	32	0.0000000000000000e+00	4.2500000000000000e+00	0.0000000000000000e+00	3.5616413439126471e-34	3.1629776283563379e-32
32	2.5000000000000000e-01	0	0	32	67	32	0.0000000000000000e+00	4.3750000000000000e+00	0.0000000000000000e+00	-1.0463143571080531e-32	-1.1895909138826373e-30
32	2.5000000000000000e-01	0	1	64	45	64	0.0000000000000000e+00	-1.1875000000000000e+00	0.0000000000000000e+00	1.0034376005414081e-05	2.0714005524742556e-04
32	2.5000000000000000e-01	0	1	64	46	64	0.0000000000000000e+00	-1.1250000000000000e+00	0.0000000000000000e+00	6.0216893660390017e-06	1.4305778510602751e-04
32	2.5000000000000000e-01	0	1	64	47	64	0.0000000000000000e+00	-1.0625000000000000e+00	0.0000000000000000e+00	1.8783659926898495e-04	2.6810636980532615e-03
32	2.5000000000000000e-01	0	1	64	48	64	0.0000000000000000e+00	-1.0000000000000000e+00	0.0000000000000000e+00	1.8612791209081012e-04	3.8664895065568792e-03
32	2.5000000000000000e-01	0	1	64	49	64	0.0000000000000000e+00	-9.3750000000000000e-01	0.0000000000000000e+00	5.4916238223740293e-04	1.2157204731611918e-02
32	2.5000000000000000e-01	0	1	64	50	64	0.0000000000000000e+00	-8.7500000000000000e-01	0.0000000000000000e+00	2.1546175032272127e-03	4.3589293869207013e-02
32	2.5000000000000000e-01	0	1	64	51	64	0.0000000000000000e+00	-8.1250000000000000e-01	0.0000000000000000e+00	7.7127031864361170e-03	1.3986407722470673e-01
32	2.5000000000000000e-01	0	1	64	52	64	0.0000000000000000e+00	-7.5000000000000000e-01	0.0000000000000000e+00	2.4368265108915297e-02	3.9140840665998899e-01
32	2.5000000000000000e-01	0	1	64	53	64	0.0000000000000000e+00	-6.8750000000000000e-01	0.0000000000000000e+00	6.8062995541919136e-02	9.5411492446900958e-01
32	2.5000000000000000e-01	0	1	64	54	64	0.0000000000000000e+00	-6.2500000000000000e-01	0.0000000000000000e+00	1.6873372238640680e-01	2.0253477248768270e+00
32	2.5000000000000000e-01	0	1	64	55	64	0.0000000000000000e+00	-5.6250000000000000e-01	0.0000000000000000e+00	3.7264612002692810e-01	3.7283426144016074e+00
32	2.5000000000000000e-01	0	1	64	56	64	0.0000000000000000e+00	-5.0000000000000000e-01	0.0000000000000000e+00	7.3540044242438374e-01	5.8935570184124213e+00
32	2.5000000000000000e-01	0	1	64	57	64	0.0000000000000000e+00	-4.3750000000000000e-01	0.0000000000000000e+00	1.3010495570598424e+00	7.8391924940274773e+00
32	2.5000000000000000e-01	0	1	64	58	64	0.0000000000000000e+00	-3.7500000000000000e-01	0.0000000000000000e+00	2.0715709495398063e+00	8.4084002788163321e+00
32	2.5000000000000000e-01	0	1	64	59	64	0.0000000000000000e+00	-3.1250000000000000e-01	0.0000000000000000e+00	2.9858444072906614e+00	6.3756376938269570e+00
32	2.5000000000000000e-01	0	1	64	60	64	0.0000000000000000e+00	-2.5000000000000000e-01	0.0000000000000000e+00	3.9267799323712720e+00	1.1724111472811940e+00
32	2.5000000000000000e-01	0	1	64	61	64	0.0000000000000000e+00	-1.8750000000000000e-01	0.0000000000000000e+00	4.7608862431734202e+00	-6.5279972014382137e+00
32	2.5000000000000000e-01	0	1	64	62	64	0.0000000000000000e+00	-1.2500000000000000e-01	0.0000000000000000e+00	5.3874306085756487e+00	-1.4804226409206844e+01
32	2.5000000000000000e-01	0	1	64	63	64	0.0000000000000000e+00	-6.2500000000000000e-02	0.0000000000000000e+00	5.7630249118054708e+00	-2.1163765766986845e+01
