# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u_err	12:rho_err
144	1.0000000000000000e+00	0	0	-3	72	72	-4.1666666666666670e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.3182143943977300e-36	9.4634708026929158e-35
144	1.0000000000000000e+00	0	0	-2	72	72	-4.1111111111111107e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.5718776770725786e-38	2.4638168799824288e-36
144	1.0000000000000000e+00	0	0	-1	72	72	-4.0555555555555554e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.0705967849800073e-38	-7.3710872642016094e-37
144	1.0000000000000000e+00	0	0	0	72	72	-4.0000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.8995463321713302e-40	-5.5014278846171570e-38
144	1.0000000000000000e+00	0	0	1	72	72	-3.9444444444444446e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.0705967849800429e-38	-7.3710872642020245e-37
144	1.0000000000000000e+00	0	0	2	72	72	-3.8888888888888888e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-2.5718776770731685e-38	2.4638168799819420e-36
144	1.0000000000000000e+00	0	0	3	72	72	-3.8333333333333335e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.3182143943978832e-36	9.4634708026945580e-35
144	1.0000000000000000e+00	0	0	4	72	72	-3.7777777777777777e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	5.4872450570813600e-36	-1.2005248231593270e-34
144	1.0000000000000000e+00	0	0	5	72	72	-3.7222222222222223e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.4463969227320950e-34	-1.1033107272994889e-32
144	1.0000000000000000e+00	0	0	6	72	72	-3.6666666666666665e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-9.5375821212924264e-34	-1.1652471389293299e-32
144	1.0000000000000000e+00	0	0	7	72	72	-3.6111111111111112e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.3355522997737956e-32	1.1245816494154325e-30
144	1.0000000000000000e+00	0	0	8	72	72	-3.5555555555555554e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.3465902437088661e-31	4.0551147675441928e-30
144	1.0000000000000000e+00	0	0	9	72	72	-3.5000000000000000e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-9.3788718969326473e-31	-9.5467782290557667e-29
144	1.0000000000000000e+00	0	0	10	72	72	-3.4444444444444446e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-1.5363802700444547e-29	-6.3087041956765644e-28
144	1.0000000000000000e+00	0	0	11	72	72	-3.3888888888888888e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	3.6544272433280864e-29	6.2983751776586522e-27
144	1.0000000000000000e+00	0	0	12	72	72	-3.3333333333333335e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.4007406955094035e-27	6.9102403058195132e-26
144	1.0000000000000000e+00	0	0	13	72	72	-3.2777777777777777e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	1.5241506584329759e-27	-2.7231409713263076e-25
144	1.0000000000000000e+00	0	0	14	72	72	-3.2222222222222223e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-9.9531476077855831e-26	-5.7482605031766921e-24
144	1.0000000000000000e+00	0	0	15	72	72	-3.1666666666666665e+00	-2.2204460492503131e-16	-2.2204460492503131e-16	-4.2462590816043945e-25	1.1162958296627920e-24
